,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
208,|(6) PPO|PPO_model_0,_1_68,4239.419,45417.23046875,0.047180790454149246,0.027704569748624862
209,|(6) PPO|PPO_model_0,_1_50,4634.358,49964.8359375,0.040599655359983444,0.045270764495882396
210,|(6) PPO|PPO_model_0,_1_33,4997.531,57394.84765625,0.027217194437980652,0.02794566066986781
211,|(6) PPO|PPO_model_0,_1_34,4579.117,20655.953125,0.051809605211019516,0.04121003358440033
212,|(6) PPO|PPO_model_0,_1_51,4125.37,58073.25,0.04110024496912956,0.037602373440012576
213,|(6) PPO|PPO_model_0,_1_56,4283.544,33790.8359375,0.041307494044303894,0.04037150744419735
214,|(6) PPO|PPO_model_0,_1_69,4484.443,44138.0703125,0.049286242574453354,0.03733917259912053
215,|(6) PPO|PPO_model_0,_1_94,4618.179,49734.97265625,0.03626229241490364,0.03841794666595597
216,|(6) PPO|PPO_model_0,_1_60,5013.3213,30085.66015625,0.043573860079050064,0.035107627549069334
217,|(6) PPO|PPO_model_0,_1_67,4263.22,44980.19140625,0.064415343105793,0.055833829784220135
218,|(6) PPO|PPO_model_0,_1_93,4433.8696,41613.0078125,0.037561506032943726,0.03281449302214387
219,|(6) PPO|PPO_model_0,_1_58,4335.331,28678.79296875,0.05678180977702141,0.02713391478186158
220,|(6) PPO|PPO_model_0,_1_5,4347.2896,58958.79296875,0.08164270222187042,0.015822777277847592
221,|(6) PPO|PPO_model_0,_1_2,4413.5806,77002.828125,0.06093702092766762,0.009094652818904134
222,|(6) PPO|PPO_model_0,_1_3,3811.938,38498.546875,0.09291253238916397,0.03460438607365748
223,|(6) PPO|PPO_model_0,_1_4,5060.723,41628.25,0.061645109206438065,0.03738135866292945
224,|(6) PPO|PPO_model_0,_1_45,4193.5664,38953.8671875,0.04449065774679184,0.026292147999175588
225,|(6) PPO|PPO_model_0,_1_89,4062.4407,49262.56640625,0.04743298143148422,0.011660036872931321
226,|(6) PPO|PPO_model_0,_1_42,4753.9937,56570.12109375,0.025424156337976456,0.009203008574234374
227,|(6) PPO|PPO_model_0,_1_80,4591.4043,38323.5546875,0.049603525549173355,0.05410656748332242
228,|(6) PPO|PPO_model_0,_1_74,4610.2295,42535.9453125,0.05355941876769066,0.043536682938081946
229,|(6) PPO|PPO_model_0,_1_73,4893.431,35651.20703125,0.06558272242546082,0.042279932431491654
230,|(6) PPO|PPO_model_0,_1_87,4197.328,57921.19921875,0.04795079305768013,0.045258523426161865
231,|(6) PPO|PPO_model_0,_1_27,4462.0483,40321.0546875,0.055706799030303955,0.03305188547849024
232,|(6) PPO|PPO_model_0,_1_18,4317.122,43093.22265625,0.04837576672434807,0.035009009586688324
233,|(6) PPO|PPO_model_0,_1_20,4236.1826,28744.150390625,0.058328814804553986,0.03740619679208158
234,|(6) PPO|PPO_model_0,_1_16,4733.0337,40696.4765625,0.03321465104818344,0.02259632035551565
235,|(6) PPO|PPO_model_0,_1_29,4141.127,52073.50390625,0.046054206788539886,0.03107322611282488
236,|(6) PPO|PPO_model_0,_1_11,4530.387,38405.34375,0.04986414313316345,0.023262138387767337
237,|(6) PPO|PPO_model_0,_1_86,4556.562,33629.77734375,0.036845363676548004,0.03177194439472
238,|(6) PPO|PPO_model_0,_1_72,4658.259,51669.9296875,0.04120117053389549,0.025729868896715958
239,|(6) PPO|PPO_model_0,_1_75,4428.499,31810.015625,0.03977120295166969,0.04166565313390082
240,|(6) PPO|PPO_model_0,_1_81,4817.9727,38651.92578125,0.042037464678287506,0.03487295698471565
241,|(6) PPO|PPO_model_0,_1_88,4589.5234,39803.0546875,0.050488825887441635,0.0394839819116058
