,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
197,|Flexible_DDQN|Local_model_5,_1_78,4305.5767,72424.53125,0.04660283774137497,0.020636867655268704
198,|Flexible_DDQN|Local_model_5,_1_47,4718.7827,41238.29296875,0.050840992480516434,0.019698772612510195
199,|Flexible_DDQN|Local_model_5,_1_40,4033.4705,79598.4453125,0.05144811049103737,0.018338557234136105
200,|Flexible_DDQN|Local_model_7,_1_35,4461.0693,72923.8828125,0.021081963554024696,0.029452989464930995
201,|Flexible_DDQN|Local_model_7,_1_32,4924.406,70515.8359375,0.0,0.018670663788504505
202,|Flexible_DDQN|Local_model_7,_1_92,4393.525,49524.8046875,0.03245708718895912,0.03872086028831838
203,|Flexible_DDQN|Local_model_7,_1_66,4835.0195,55635.6953125,0.014425315894186497,0.03571021677901386
204,|Flexible_DDQN|Local_model_7,_1_59,4982.7163,26162.669921875,0.01705341972410679,0.03616997140305073
205,|Flexible_DDQN|Local_model_7,_1_61,4120.704,42634.25,0.006566740572452545,0.03941811036182467
206,|Flexible_DDQN|Local_model_7,_1_95,4780.368,45351.9609375,0.0,0.03718414607514874
207,|Flexible_DDQN|Local_model_7,_1_57,4355.7803,32349.943359375,0.01930234767496586,0.028469666019152948
208,|Flexible_DDQN|Local_model_7,_1_68,4845.6777,40878.390625,0.0,0.04141843283298918
209,|Flexible_DDQN|Local_model_7,_1_50,4757.1436,64720.69921875,0.007525916211307049,0.011445707747261686
210,|Flexible_DDQN|Local_model_7,_1_33,5112.942,53591.96875,0.021928830072283745,0.043285830812102896
211,|Flexible_DDQN|Local_model_7,_1_34,4810.3594,22428.62890625,0.018565606325864792,0.031728514569057946
212,|Flexible_DDQN|Local_model_7,_1_51,4167.586,61455.96484375,0.0380156971514225,0.03238859548973074
213,|Flexible_DDQN|Local_model_7,_1_56,4370.497,34840.5859375,0.011959366500377655,0.03271808100644615
214,|Flexible_DDQN|Local_model_7,_1_69,4847.852,43519.2421875,0.022087134420871735,0.03718291281774404
215,|Flexible_DDQN|Local_model_7,_1_94,4618.179,46432.765625,0.04292483255267143,0.044676021962934354
216,|Flexible_DDQN|Local_model_7,_1_60,5071.7935,33317.6484375,0.03806105628609657,0.024566112473094624
217,|Flexible_DDQN|Local_model_7,_1_67,4466.5215,50450.70703125,0.025750985369086266,0.03910638921601697
218,|Flexible_DDQN|Local_model_7,_1_93,4499.2627,40326.71484375,0.02622576802968979,0.036279302752007386
219,|Flexible_DDQN|Local_model_7,_1_58,4563.708,27534.650390625,0.01170412078499794,0.037379755347159885
